source,slug,subtopico,lote,issue_codes
"supabase","avancasp-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344751294-2","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1776056009428-6","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1776056009428-8","Assistência Perioperatória (Inclui SRPA)","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002714111-0","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002714111-1","Verificação de Sinais Vitais","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002714111-2","Verificação de Sinais Vitais","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002714111-3","Verificação de Sinais Vitais","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002714111-4","Processo de Enfermagem","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002714111-5","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002714111-6","Segurança do Paciente","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002714111-7","Enfermagem em Central de Material e Esterilização (CME)","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002714111-8","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002714111-9","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002834059-2","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002834059-3","Promoção à Saúde e Prevenção de Agravos","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002834059-4","Assistência Perioperatória (Inclui SRPA)","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002834059-5","Urgências e Emergências","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002834059-6","Segurança do Paciente","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002834059-7","Infecções no Contexto da Biossegurança","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002834059-8","Processo de Enfermagem","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002834059-9","Noções de Anatomia","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002845055-0","Noções de Anatomia","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002845055-1","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002845055-2","Mobilização e Posicionamento do Paciente","","stub_markers"
